ranking;revista;issn;acesso_aberto;quartil;indice_h
1;Revista de Investigacoes Constitucionais;23595639;Yes;Q1;12
2;Relacoes Internacionais no Mundo Atual;23162880;No;Q2;7
3;Dilemas;19835922;Yes;Q2;13
4;Opiniao Publica;1046276;Yes;Q2;24
5;Civitas;19847289;Yes;Q2;7
6;Sociedade e Estado;19805462;Yes;Q2;21
7;Brazilian Journal of Political Economy;18094538;Yes;Q2;24
8;Revista de Administracao Mackenzie;15186776;Yes;Q3;17
9;Revista Brasileira de Historia;1020188;Yes;Q3;11
10;Estudos Avancados;18069592;Yes;Q3;38
11;Revista de Sociologia e Politica;1044478;Yes;Q3;20
12;Revista Brasileira de Direito Processual Penal;23593881;Yes;Q3;7
13;Revista Brasileira de Estudos Politicos;23595736;Yes;Q3;4
14;Revista Brasileira de Seguranca Publica;19811659;Yes;Q3;3
15;Caderno CRH;1034979;Yes;Q3;14
16;Revista Brasileira de Gestao e Desenvolvimento Regional;1809239X;Yes;Q3;9
17;Vibrant Virtual Brazilian Anthropology;18094341;Yes;Q4;6
18;Lua Nova;1026445;Yes;Q4;19
19;Esbocos;1414722X;Yes;Q4;5
20;Estudos Historicos;1032186;Yes;Q4;6
21;Cadernos de Linguagem e Sociedade;1049712;No;Q4;4
22;Perspectiva Teologica;21768757;Yes;Q4;4
23;Revista Brasileira de Ciencias Policiais;23186917;Yes;Q4;2
24;Direito, Estado e Sociedade;19820879;Yes;Q4;3
25;Revista da Abordagem Gestaltica;19843542;No;Q4;6
26;Informacao e Sociedade;18094783;Yes;Q4;9
27;Revista do CAAP;14150344;Yes;Q4;0
28;Sur;19833342;Yes;Q4;12
29;Revista de Direito Civil Contemporaneo;23581433;No;Q4;3
30;Revista do Instituto Historico e Geografico do Rio Grande do Sul;25957031;No;Q4;1
1;Dilemas;21782792;Yes;Q2;13
2;Revista de Economia e Sociologia Rural;1032003;Yes;Q2;24
3;Sociologias;15174522;Yes;Q2;23
4;Revista Brasileira de Ciencias Sociais;18069053;Yes;Q2;22
5;Dados;00115258;Yes;Q2;32
6;Ambiente e Sociedade;1414753X;Yes;Q2;27
7;Tempo Social;1032070;Yes;Q3;18
8;Educacao and Realidade;21756236;Yes;Q3;8
9;Revista Brasileira de Alternative Dispute Resolution;26748835;No;Q3;8
10;Onomastica desde America Latina;26752719;Yes;Q3;4
11;InfoDesign;18085377;Yes;Q3;2
12;Revista Pesquisa Qualitativa;25258222;No;Q3;4
13;Praxis Educativa;18094309;Yes;Q3;9
14;Novos Estudos CEBRAP;19805403;Yes;Q3;24
15;Sociologia e Antropologia;22383875;Yes;Q4;8
16;Revista Brasileira de Pesquisa em Turismo;19826125;Yes;Q4;5
17;Fronteiras;22388869;Yes;Q4;9
18;Sociedade e Cultura;14158566;Yes;Q4;6
19;International Journal of Innovation;23189975;No;Q4;3
20;Revista Brasileira de Ciencias Policiais;21780013;Yes;Q4;2
21;Direito, Estado e Sociedade;15166104;Yes;Q4;3
22;Revista Eletronica Direito e Sociedade;23188081;Yes;Q4;3
23;Revista de Direito da Faculdade Guanambi;24476536;Yes;Q4;3
24;Revista da Defensoria Publica do Distrito Federal;26745739;Yes;Q4;2
25;Revista do CAAP;22383840;Yes;Q4;0
26;Margens;18060560;No;Q4;2
